severity,flag,rows,in_review,accepted,description,action,examples
fix,no_dlret,62,62,0,"The delisting has no delisting return (DLRET). `triage()` adds this token to every delisting row whose dlret is still blank, so accepting its other flags never silently drops it.","Supply the missing value via --last-trade-closes, --merger-terms or --recoveries and rerun, or accept it in data/review_decisions.csv if no value exists to supply.",ADCT@2010-12-19; ANAT@2020-07-12; TAHO@2019-03-04
fix,ended_without_delisting,58,58,0,"The security was observed and then stopped being observed, but no delisting was found: it has no delisting row and no DLRET, so it drops out of a backtest with no terminal return -- a missing delisting can hide a loss as large as -100%.","Find the Form 25/15, bankruptcy or merger filing that ended it (search the issuer's filings around last_seen); if the identity is wrong, pin the right cik/sec_id on the observations. Accept only after confirming the security really still trades (e.g. under another ticker) or is out of scope -- there is no override to add a missing delisting.",ACV; WNR; CCU
fix,observation_unresolved,31,31,0,"Neither a FIGI nor an issuer CIK was found for this ticker era, so its observations make no security.",Pin a cik or sec_id on the observations (or fix their ticker or name) and rerun; accept it in data/review_decisions.csv if the security is out of scope.,AABA; BWC; CBSO
check,no_last_close,163,84,0,"No last-trade close was found in SEC fails-to-deliver data (or there is no last trade date), so the DLRET may be blank.","Matters when the row also carries no_dlret, or for a liquidation or compliance_failure delisting (their DLRET needs a close): supply the close in --last-trade-closes (sec_id,last_trade_close[,delist_date]). On an exchange transfer the DLRET is 0 whatever the close; accept it in bulk with `accept_review.py --flag no_last_close --bucket exchange_transfer`.",ADCT@2010-12-19; ANAT@2020-07-12; TAHO@2019-03-04
check,no_form25,139,139,0,"No Form 25 was found, so the delisting was dated and classified from other filings (a bankruptcy or anchor 8-K, an SEC revocation or a Form 15).",Check the delisting date and bucket against the cited filing; accept it in data/review_decisions.csv if right.,RHD@2009-05-29; SSCC@2009-01-30; IAR@2009-03-31
check,no_last_trade_date,131,52,0,"No source (MIDAS, a Nasdaq halt, the Form 25 notice or the 8-K text) dates the last trade.","Matters when the row also carries no_dlret, or for a liquidation or compliance_failure delisting (their DLRET needs a close): find the last trading day in the delisting filings and supply that day's close in --last-trade-closes. On an exchange transfer the DLRET is 0 whatever the close; accept it in bulk with `accept_review.py --flag no_last_trade_date --bucket exchange_transfer`.",ADCT@2010-12-19; ANAT@2020-07-12; CI@2018-12-31
check,successor_unknown,129,129,0,An exchange-transfer delisting (CRSP code 304: filings continued more than 180 days after the delisting) whose successor security (successor_sec_id) was not found.,"Confirm the security really moved -- to OTC or another venue -- and was not acquired or dropped for cause; if the bucket itself is wrong, no bucket override exists, so note it for a classifier rule instead of chasing the successor. Otherwise find the security the holders kept and add an observation of it; accept it in data/review_decisions.csv if none exists.",CBL@2020-11-04; PRE@2016-03-28; GAS@2016-07-11
check,delist_date_approx,123,123,0,"No filing dated the delisting near the last observation, so delist_date is the last observation itself.",Look in the issuer's filings for the real end date; accept it in data/review_decisions.csv if the last observation is close.,TMA@2008-09-29; CBL@2020-11-04; HSC@2023-06-20
check,form25_unclassified,118,118,0,"A Form 25 of the issuer whose class text names no recognized class, so it was matched to no security.","Read the Form 25 (accession in the reason); accept it in data/review_decisions.csv if it is not about this security, otherwise extend form25.class_kind for its class text.",AIG@2012-12-13; LO@2015-07-05; AVT@2018-05-17
check,form25_unmatched,78,78,0,A Form 25 whose class could not be matched to exactly one of the issuer's securities.,"Read the Form 25 (accession in the reason) to see which class it removed; accept it in data/review_decisions.csv if it is not about this security, otherwise pin the securities' sec_id.",TMA@2009-01-25; AON@2020-04-11; CCU@2008-08-10
check,ticker_unconfirmed,63,63,0,SEC fails-to-deliver data never shows this ticker near the era's first and last observation (the snapshot may carry a ticker adopted later).,"Check which ticker the company traded under then and fix the observations, or accept it in data/review_decisions.csv if right.",AABA; QRTEA; ANTM
check,merger_at_par,51,51,0,"A merger whose consideration was never found or never passed the gate, so its DLRET was set to 0 (terminal value = last close).",Read the merger 8-K or proxy for the per-share consideration and supply it in --merger-terms; accept it in data/review_decisions.csv if 0% is right.,RAI@2017-08-04; CNH@2013-10-11; BMS@2019-06-21
check,terms_gate_failed,49,49,0,"LLM-read cash+stock merger terms were dropped: no acquirer ticker (no_acq_ticker), no acquirer price (no_acq_price), no last close (no_last_close), or cash plus stock at the acquirer's price is too far from the last close (fail_sanity).","Read the merger filing and supply cash_per_share, stock_ratio, acquirer_price and acquirer_ticker in --merger-terms.",ANAT@2020-07-12; CI@2018-12-31; IFIN@2007-07-12
check,last_trade_date_conflict,45,45,0,"The filing text dates the last trade differently from the date used (MIDAS volume, a Nasdaq halt, or the other filing).","Read the Form 25 notice or the 3.01 8-K to confirm the last trading day; supply its close in --last-trade-closes if the close is wrong, or accept it in data/review_decisions.csv if right.",FRK@2007-12-01; SIVB@2023-05-12; BBBY@2023-07-20
check,ticker_shared,42,42,0,Two securities hold the same ticker on overlapping dates in ticker_history (the reason names both ranges).,"Check which security traded under the ticker then and fix the other's observations, or accept it in data/review_decisions.csv if right.",TOC; ANAT; AON
check,member_name_mismatch,31,31,0,"EDGAR's issuer name on the delisting date does not agree with the observed name, so the CIK may belong to another company.","Compare resolved_name with the observed name; pin the right cik on the observations if it is wrong, or accept it in data/review_decisions.csv if the company was renamed.",PHLY@2008-12-11; MLNM@2008-05-24; PPDI@2011-12-15
check,observed_after_delisting,24,24,0,The delisting is a Form 25 filed before the observations stopped: a stale snapshot kept listing a security already gone.,Confirm from the Form 25 and the deal filings that it really ended then; accept it in data/review_decisions.csv if right.,CDWC@2007-10-22; DADE@2007-11-16; FRK@2007-12-01
check,llm_gate_failed,16,16,0,"The LLM's cash (or cash-or-stock election) terms did not reconcile with the last close, so they were dropped.",Read the merger filing and supply the terms in --merger-terms; accept it in data/review_decisions.csv if right.,HEW@2010-10-14; FRX@2014-07-12; JCI@2016-09-16
check,no_evidence_default,12,12,0,"Delisted with no merger or distress evidence, so the bucket is unknown; DLRET is set to 0 at par only when a Form 25 or Form 15 also confirms deregistration and a last close exists, else it is blank.","Read the filings around the delisting to learn why it ended; accept it in data/review_decisions.csv if right, otherwise the classifier needs a rule.",TAHO@2019-03-04; GOOGL@2015-10-12; GOOG@2015-10-12
check,payout_gate_failed,12,12,0,"The cash payout the regex read from the filing (the value after the colon) is more than the tolerance away from the last close, so it was not used.",Check the row's payout against the merger filing and supply the right terms in --merger-terms; accept it in data/review_decisions.csv if right.,MRTX@2024-02-02; CYN@2015-11-12; RAI@2017-08-04
check,observation_conflict,6,6,0,One ticker was observed under two or more names on the date after the colon; the reason names each name and the security it went to.,"Check which company traded under the ticker that day and fix the other name's observation (its ticker, or a cik or sec_id pin), or accept it in data/review_decisions.csv if right.",AGN; CB
check,distress_at_normal_price,4,4,0,"A compliance-failure or liquidation delisting whose last close is $5 or more, so its distress bucket and negative DLRET may be wrong.","Read the Form 25 and the 8-Ks around it; supply a --recoveries ratio if the distress is real but the mark is not, or accept it in data/review_decisions.csv if right.",SIVB@2023-05-12; ERA@2019-05-13; WOLF@2025-10-09
check,bankruptcy_before_merger,1,1,0,"A confirmed Chapter 11 came long before the delisting and a change-in-control 8-K sits near it, so the merger rules classified it instead of the bankruptcy.","Confirm the company emerged and was then acquired, not liquidated; accept it in data/review_decisions.csv if right.",CCO@2019-05-12
check,bankruptcy_tag_unconfirmed,1,1,0,"An 8-K tagged Item 1.03 (bankruptcy) never mentions a bankruptcy in its text, so the tag was ignored.",Read the 8-K (anchor_8k) to confirm it is not a bankruptcy; accept it in data/review_decisions.csv if right.,VSTO@2024-12-07
info,no_figi,170,0,0,"OpenFIGI confirmed no US composite FIGI, so sec_id is a placeholder CIK<cik>-<CLASS>.","If the security had a FIGI, pin its sec_id or cusip on the observations; otherwise nothing to do.",NTAP; UAUA; YHOO
info,resolved_by_current_ticker_map,136,36,0,"The issuer CIK came from SEC's current company_tickers.json, today's holder of the ticker.","Check resolved_name is the right company; if not, pin the cik on the observations.",KHC@2026-09-18; WOLF@2025-10-09; DBD@2023-06-30
info,ftd_close_lagged,133,42,0,"The last close came from a fails-to-deliver row dated a few trading days late rather than the next trading day, so it may be an OTC or stale price.",Nothing unless the price looks off; supply the close in --last-trade-closes to override.,TMA@2008-09-29; WOLF@2025-10-09; TDW@2017-05-18
info,ftd_close_prior,120,47,0,"No fails-to-deliver row followed the last trade, so the last close is an earlier one (the number after the colon is its age in trading days).",Nothing unless the price moved in those days; supply the close in --last-trade-closes to override.,LKSD@2020-04-13; ERA@2019-05-13; BOT@2007-07-23
info,last_trade_date_unconfirmed,99,98,0,The last trade date came from filing text (or the last observation) that neither MIDAS volume nor a Nasdaq halt confirms.,"Nothing unless the date looks off; the close is priced on it, so supply --last-trade-closes if needed.",RHD@2009-05-29; SSCC@2009-01-30; IAR@2009-03-31
info,acquirer_close_lagged,29,3,0,"The acquirer price in the merger's stock leg came from a fails-to-deliver row dated a few trading days late, so it may be an OTC or stale price.",Nothing unless the price looks off; supply acquirer_price in --merger-terms to override.,BOT@2007-07-23; MEL@2007-07-12; GSF@2007-12-23
info,resolved_by_cik_map,12,12,0,The CIK came from the observations' cik pin although EDGAR's name disagrees (it sits beside member_name_mismatch).,Nothing if the pin is right; otherwise correct the cik pin in the observations.,ASD@2008-06-16; XL@2018-09-22; BG@2023-11-11
info,resolved_by_manual_override,1,1,0,The CIK came from MANUAL_OVERRIDES in scripts/classify_universe.py although EDGAR's name disagrees (it sits beside member_name_mismatch).,Nothing if the override is right; otherwise correct it in scripts/classify_universe.py.,THRX@2016-01-22
